TransactionID,Date,MerchantID,CategoryID,Debit_Amount
TX20224,2022-01-01,M4,C3,1162.6
TX20225,2022-01-01,M1,C1,562.53
TX20228,2022-01-02,M4,C3,1213.17
TX20229,2022-01-02,M6,C4,511.33
TX202213,2022-01-02,M7,C4,481.99
TX202215,2022-01-03,M3,C2,189.6
TX202216,2022-01-03,M6,C4,529.55
TX202223,2022-01-03,M6,C4,1125.34
TX202226,2022-01-04,M6,C4,122381.9111
TX202227,2022-01-04,M3,C2,1380.24
TX202228,2022-01-04,M3,C2,948.87
TX202229,2022-01-04,M3,C2,607.41
TX202230,2022-01-05,M0,C1,1003.87
TX202231,2022-01-05,M1,C1,198.53
TX202233,2022-01-05,M7,C4,156951.4804
TX202234,2022-01-06,M7,C4,599.02
TX202235,2022-01-06,M7,C4,519.77
TX202237,2022-01-06,M6,C4,188.01
TX202238,2022-01-06,M1,C1,774.53
TX202240,2022-01-06,M4,C3,443.01
TX202241,2022-01-06,M8,C3,1023.11
TX202245,2022-01-06,M0,C1,942.45
TX202246,2022-01-07,M3,C2,58.35
TX202247,2022-01-07,M8,C3,336.14
TX202249,2022-01-07,M5,C3,485.38
TX202250,2022-01-07,M2,C2,1343.61
TX202256,2022-01-08,M7,C4,1059.28
TX202257,2022-01-08,M4,C3,184.31
TX202258,2022-01-08,M3,C2,1191.11
TX202259,2022-01-08,M0,C1,538.03
TX202262,2022-01-08,M5,C3,163.5
TX202263,2022-01-08,M4,C3,833.0
TX202266,2022-01-09,M5,C3,945.59
TX202272,2022-01-10,M5,C3,1400.44
TX202274,2022-01-10,M6,C4,1392.71
TX202278,2022-01-10,M0,C1,1102.38
TX202280,2022-01-10,M7,C4,158656.8523
TX202282,2022-01-10,M4,C3,1457.61
TX202284,2022-01-10,M6,C4,1403.7
TX202285,2022-01-11,M2,C2,162625.0251
TX202286,2022-01-11,M3,C2,840.35
TX202288,2022-01-12,M1,C1,652.23
TX202289,2022-01-12,M1,C1,530.72
TX202290,2022-01-12,M2,C2,337.22
TX202291,2022-01-12,M3,C2,607.32
TX202295,2022-01-12,M5,C3,831.69
TX202296,2022-01-12,M6,C4,1380.63
TX202297,2022-01-12,M3,C2,1110.45
TX202298,2022-01-13,M2,C2,1259.62
TX202299,2022-01-13,M8,C3,1169.0
TX2022100,2022-01-13,M4,C3,1371.83
TX2022103,2022-01-14,M2,C2,719.4
TX2022104,2022-01-14,M7,C4,995.66
TX2022105,2022-01-14,M5,C3,959.73
TX2022107,2022-01-14,M8,C3,969.74
TX2022108,2022-01-14,M2,C2,191.41
TX2022112,2022-01-15,M5,C3,772.26
TX2022113,2022-01-15,M2,C2,1067.19
TX2022114,2022-01-15,M6,C4,1293.22
TX2022116,2022-01-15,M4,C3,193468.7833
TX2022117,2022-01-15,M3,C2,919.71
TX2022119,2022-01-16,M6,C4,976.31
TX2022120,2022-01-16,M6,C4,401.17
TX2022121,2022-01-16,M3,C2,1456.41
TX2022122,2022-01-16,M4,C3,364.69
TX2022124,2022-01-16,M6,C4,1401.28
TX2022125,2022-01-16,M8,C3,658.98
TX2022126,2022-01-16,M0,C1,1186.23
TX2022128,2022-01-17,M0,C1,1100.35
TX2022132,2022-01-18,M7,C4,1188.83
TX2022134,2022-01-18,M3,C2,712.56
TX2022138,2022-01-19,M0,C1,1099.79
TX2022141,2022-01-19,M2,C2,834.77
TX2022145,2022-01-20,M0,C1,252.17
TX2022149,2022-01-21,M2,C2,1261.13
TX2022150,2022-01-21,M4,C3,442.83
TX2022151,2022-01-21,M8,C3,1049.62
TX2022152,2022-01-21,M6,C4,69.44
TX2022154,2022-01-22,M1,C1,687.91
TX2022160,2022-01-23,M3,C2,361.39
TX2022163,2022-01-23,M1,C1,180648.7088
TX2022165,2022-01-23,M2,C2,1150.4
TX2022166,2022-01-23,M4,C3,1370.89
TX2022167,2022-01-23,M3,C2,197.65
TX2022168,2022-01-23,M7,C4,1061.58
TX2022170,2022-01-23,M8,C3,1069.45
TX2022173,2022-01-24,M3,C2,1387.91
TX2022177,2022-01-24,M1,C1,75.55
TX2022178,2022-01-24,M3,C2,110.35
TX2022179,2022-01-24,M1,C1,306.12
TX2022181,2022-01-25,M5,C3,1487.59
TX2022182,2022-01-25,M4,C3,1259.8
TX2022184,2022-01-25,M4,C3,1384.98
TX2022185,2022-01-25,M6,C4,752.97
TX2022187,2022-01-25,M1,C1,1309.72
TX2022190,2022-01-25,M8,C3,147424.2365
TX2022191,2022-01-25,M4,C3,1249.72
TX2022194,2022-01-26,M3,C2,455.29
TX2022198,2022-01-27,M4,C3,1484.16
TX2022199,2022-01-27,M5,C3,164494.683
TX2022201,2022-01-28,M3,C2,163.99
TX2022202,2022-01-28,M3,C2,126152.4228
TX2022204,2022-02-01,M3,C2,883.62
TX2022205,2022-02-01,M7,C4,1243.71
TX2022207,2022-02-01,M7,C4,119.02
TX2022208,2022-02-02,M2,C2,805.03
TX2022210,2022-02-02,M4,C3,744.18
TX2022213,2022-02-02,M7,C4,421.36
TX2022215,2022-02-02,M0,C1,995.61
TX2022216,2022-02-02,M6,C4,903.45
TX2022217,2022-02-02,M4,C3,884.72
TX2022218,2022-02-02,M4,C3,1486.41
TX2022222,2022-02-02,M2,C2,1042.48
TX2022226,2022-02-03,M6,C4,239.49
TX2022227,2022-02-03,M7,C4,510.88
TX2022231,2022-02-04,M5,C3,374.88
TX2022234,2022-02-05,M8,C3,1014.7
TX2022236,2022-02-05,M2,C2,430.81
TX2022237,2022-02-05,M2,C2,1150.09
TX2022238,2022-02-05,M6,C4,1056.04
