month,store_id,iphone15
Sep_23,201,24297
Sep_23,202,16213
Sep_23,203,16260
Sep_23,301,43971
Sep_23,303,12209
Sep_23,101,4825
Sep_23,102,5984
Sep_23,103,8319
Sep_23,121,14035
Sep_23,122,16860
Sep_23,220,4046
Sep_23,221,4332
Sep_23,320,48392
Sep_23,321,29782
Sep_23,401,13984
Sep_23,402,14303
Sep_23,403,12067
Sep_23,420,6713
Sep_23,421,6715
Sep_23,422,7511
Sep_23,501,14040
Sep_23,502,16016
Sep_23,520,21662
Sep_23,521,21937
Sep_23,522,23806
Oct_23,201,12895
Oct_23,202,20000
Oct_23,203,23431
Oct_23,301,20564
Oct_23,303,28764
Oct_23,101,5107
Oct_23,102,5854
Oct_23,103,8017
Oct_23,121,13972
Oct_23,122,17078
Oct_23,220,3990
Oct_23,221,4478
Oct_23,320,31752
Oct_23,321,17679
Oct_23,401,14397
Oct_23,402,10894
Oct_23,403,13003
Oct_23,420,6754
Oct_23,421,6886
Oct_23,422,7127
Oct_23,501,10715
Oct_23,502,17646
Oct_23,520,28957
Oct_23,521,28320
Oct_23,522,26454
Nov_23,201,17495
Nov_23,202,19853
Nov_23,203,13879
Nov_23,301,29924
Nov_23,303,44923
Nov_23,101,5155
Nov_23,102,5806
Nov_23,103,8512
Nov_23,121,14350
Nov_23,122,16816
Nov_23,220,3843
Nov_23,221,4039
Nov_23,320,20164
Nov_23,321,23559
Nov_23,401,11788
Nov_23,402,10751
Nov_23,403,11879
Nov_23,420,7247
Nov_23,421,7239
Nov_23,422,6628
Nov_23,501,11697
Nov_23,502,17711
Nov_23,520,26707
Nov_23,521,22748
Nov_23,522,23798
